BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_100.fq.sr.bam 0 58916702 53933732 1385247 0.974959 0.938935 0.956947 0.972764
hsa_art_100.fq.sr.bam 1 58916702 53933732 1385247 0.974959 0.938935 0.956947 0.972764
hsa_art_100.fq.sr.bam 2 58916702 53933732 1385247 0.974959 0.938935 0.956947 0.972764
hsa_art_100.fq.sr.bam 3 58916702 53933732 1385247 0.974959 0.938935 0.956947 0.972764
hsa_art_100.fq.sr.bam 4 58916702 53933732 1385247 0.974959 0.938935 0.956947 0.972764
hsa_art_100.fq.sr.bam 5 58916702 53933732 1385247 0.974959 0.938935 0.956947 0.972764
hsa_art_100.fq.sr.bam 10 58916702 53933732 1385247 0.974959 0.938935 0.956947 0.972764
hsa_art_100.fq.sr.bam 15 58916702 53933732 1385247 0.974959 0.938935 0.956947 0.972764
hsa_art_100.fq.sr.bam 20 58916702 53933732 1385247 0.974959 0.938935 0.956947 0.972764
hsa_art_100.fq.sr.bam 25 58916702 53933732 1385247 0.974959 0.938935 0.956947 0.972764
hsa_art_100.fq.sr.bam 30 58916702 53933732 1385247 0.974959 0.938935 0.956947 0.972764
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_100.fq.bt2.bam 0 58916702 56942145 1919016 0.967398 0.999057 0.983227 0.969205
hsa_art_100.fq.bt2.bam 1 58916702 56939290 1840620 0.968686 0.997678 0.983182 0.970345
hsa_art_100.fq.bt2.bam 2 58916702 55478922 214084 0.996156 0.945284 0.97072 0.993012
hsa_art_100.fq.bt2.bam 3 58916702 55476546 137003 0.997537 0.943935 0.970736 0.994216
hsa_art_100.fq.bt2.bam 4 58916702 55476293 130366 0.997656 0.943818 0.970737 0.99432
hsa_art_100.fq.bt2.bam 5 58916702 55476175 128326 0.997692 0.943782 0.970737 0.994351
hsa_art_100.fq.bt2.bam 10 58916702 54588300 24198 0.999557 0.926944 0.963251 0.994972
hsa_art_100.fq.bt2.bam 15 58916702 54310644 11697 0.999785 0.922019 0.960902 0.994849
hsa_art_100.fq.bt2.bam 20 58916702 53836224 4916 0.999909 0.913852 0.956881 0.994401
hsa_art_100.fq.bt2.bam 25 58916702 53303382 2880 0.999946 0.904773 0.95236 0.993797
hsa_art_100.fq.bt2.bam 30 58916702 51697683 687 0.999987 0.877482 0.938735 0.991842
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_100.fq.bwamem.bam 0 58916702 57161125 1755518 0.970203 0.999999 0.985101 0.971906
hsa_art_100.fq.bwamem.bam 1 58916702 55459258 36735 0.999338 0.94194 0.970639 0.995769
hsa_art_100.fq.bwamem.bam 2 58916702 55436411 34264 0.999382 0.94151 0.970446 0.995782
hsa_art_100.fq.bwamem.bam 3 58916702 55389823 30812 0.999444 0.940661 0.970052 0.995784
hsa_art_100.fq.bwamem.bam 4 58916702 55357096 28111 0.999492 0.94006 0.969776 0.995789
hsa_art_100.fq.bwamem.bam 5 58916702 55309022 25143 0.999546 0.939193 0.969369 0.995782
hsa_art_100.fq.bwamem.bam 10 58916702 54769798 9560 0.999825 0.929776 0.9648 0.995414
hsa_art_100.fq.bwamem.bam 15 58916702 54449658 4900 0.99991 0.924264 0.962087 0.995119
hsa_art_100.fq.bwamem.bam 20 58916702 54400208 4072 0.999925 0.92341 0.961667 0.995075
hsa_art_100.fq.bwamem.bam 25 58916702 54161962 2497 0.999954 0.91934 0.959647 0.994823
hsa_art_100.fq.bwamem.bam 30 58916702 53559205 967 0.999982 0.909083 0.954533 0.994135
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_100.fq.bwaaln.bam 0 58916702 57159846 1729920 0.970624 0.999543 0.985084 0.972279
hsa_art_100.fq.bwaaln.bam 1 58916702 55605131 20230 0.999636 0.944136 0.971886 0.996191
hsa_art_100.fq.bwaaln.bam 2 58916702 55599676 18655 0.999665 0.944016 0.97184 0.996211
hsa_art_100.fq.bwaaln.bam 3 58916702 55593975 17114 0.999692 0.943893 0.971793 0.996228
hsa_art_100.fq.bwaaln.bam 4 58916702 55587429 15754 0.999717 0.943759 0.971738 0.996242
hsa_art_100.fq.bwaaln.bam 5 58916702 55578350 14117 0.999746 0.943577 0.971661 0.996257
hsa_art_100.fq.bwaaln.bam 10 58916702 55510406 7777 0.99986 0.942317 0.971089 0.996281
hsa_art_100.fq.bwaaln.bam 15 58916702 55394595 4044 0.999927 0.940288 0.970108 0.99621
hsa_art_100.fq.bwaaln.bam 20 58916702 55183796 1890 0.999966 0.936673 0.968319 0.996007
hsa_art_100.fq.bwaaln.bam 25 58916702 54526695 202 0.999996 0.925491 0.962743 0.995283
hsa_art_100.fq.bwaaln.bam 30 58916702 54480251 100 0.999998 0.924701 0.962349 0.995231
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_100.fq.star.bam 0 58916702 57191837 866475 0.985076 0.98543 0.985253 0.985097
hsa_art_100.fq.star.bam 1 58916702 56940220 656951 0.988594 0.977603 0.983098 0.987941
hsa_art_100.fq.star.bam 2 58916702 56463291 371260 0.993468 0.964659 0.979064 0.991726
hsa_art_100.fq.star.bam 3 58916702 56463291 371260 0.993468 0.964659 0.979064 0.991726
hsa_art_100.fq.star.bam 4 58916702 55611959 152358 0.997268 0.946494 0.971881 0.994131
hsa_art_100.fq.star.bam 5 58916702 55611959 152358 0.997268 0.946494 0.971881 0.994131
hsa_art_100.fq.star.bam 10 58916702 55611959 152358 0.997268 0.946494 0.971881 0.994131
hsa_art_100.fq.star.bam 15 58916702 55611959 152358 0.997268 0.946494 0.971881 0.994131
hsa_art_100.fq.star.bam 20 58916702 55611959 152358 0.997268 0.946494 0.971881 0.994131
hsa_art_100.fq.star.bam 25 58916702 55611959 152358 0.997268 0.946494 0.971881 0.994131
hsa_art_100.fq.star.bam 30 58916702 55611959 152358 0.997268 0.946494 0.971881 0.994131
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_200.fq.sr.bam 0 29455551 28583052 650744 0.97774 0.992472 0.985106 0.978594
hsa_art_200.fq.sr.bam 1 29455551 28583052 650744 0.97774 0.992472 0.985106 0.978594
hsa_art_200.fq.sr.bam 2 29455551 28583052 650744 0.97774 0.992472 0.985106 0.978594
hsa_art_200.fq.sr.bam 3 29455551 28583052 650744 0.97774 0.992472 0.985106 0.978594
hsa_art_200.fq.sr.bam 4 29455551 28583052 650744 0.97774 0.992472 0.985106 0.978594
hsa_art_200.fq.sr.bam 5 29455551 28583052 650744 0.97774 0.992472 0.985106 0.978594
hsa_art_200.fq.sr.bam 10 29455551 28583052 650744 0.97774 0.992472 0.985106 0.978594
hsa_art_200.fq.sr.bam 15 29455551 28583052 650744 0.97774 0.992472 0.985106 0.978594
hsa_art_200.fq.sr.bam 20 29455551 28583052 650744 0.97774 0.992472 0.985106 0.978594
hsa_art_200.fq.sr.bam 25 29455551 28583052 650744 0.97774 0.992472 0.985106 0.978594
hsa_art_200.fq.sr.bam 30 29455551 28583052 650744 0.97774 0.992472 0.985106 0.978594
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_200.fq.star.bam 0 29455551 28990589 218823 0.992508 0.991644 0.992076 0.992457
hsa_art_200.fq.star.bam 1 29455551 28907236 192917 0.993371 0.987934 0.990652 0.99305
hsa_art_200.fq.star.bam 2 29455551 28709459 66945 0.997674 0.976943 0.987308 0.99643
hsa_art_200.fq.star.bam 3 29455551 28709459 66945 0.997674 0.976943 0.987308 0.99643
hsa_art_200.fq.star.bam 4 29455551 28358688 16740 0.99941 0.96333 0.98137 0.997213
hsa_art_200.fq.star.bam 5 29455551 28358688 16740 0.99941 0.96333 0.98137 0.997213
hsa_art_200.fq.star.bam 10 29455551 28358688 16740 0.99941 0.96333 0.98137 0.997213
hsa_art_200.fq.star.bam 15 29455551 28358688 16740 0.99941 0.96333 0.98137 0.997213
hsa_art_200.fq.star.bam 20 29455551 28358688 16740 0.99941 0.96333 0.98137 0.997213
hsa_art_200.fq.star.bam 25 29455551 28358688 16740 0.99941 0.96333 0.98137 0.997213
hsa_art_200.fq.star.bam 30 29455551 28358688 16740 0.99941 0.96333 0.98137 0.997213
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_50.fq.bt2.bam 0 117832565 98410511 10464409 0.903886 0.92398 0.913933 0.905044
hsa_art_50.fq.bt2.bam 1 117832565 98264062 9022397 0.915904 0.910499 0.913201 0.915584
hsa_art_50.fq.bt2.bam 2 117832565 94799992 2276544 0.976549 0.823852 0.9002 0.966017
hsa_art_50.fq.bt2.bam 3 117832565 94763517 1539959 0.984009 0.817291 0.90065 0.972342
hsa_art_50.fq.bt2.bam 4 117832565 94733799 1442418 0.985002 0.816211 0.900607 0.973164
hsa_art_50.fq.bt2.bam 5 117832565 94717312 1418323 0.985247 0.815866 0.900556 0.97336
hsa_art_50.fq.bt2.bam 10 117832565 92794618 366547 0.996065 0.790623 0.893344 0.981069
hsa_art_50.fq.bt2.bam 15 117832565 91671794 216339 0.997646 0.77982 0.888733 0.981519
hsa_art_50.fq.bt2.bam 20 117832565 90029228 108726 0.998794 0.764966 0.88188 0.981152
hsa_art_50.fq.bt2.bam 25 117832565 87247032 61280 0.999298 0.740952 0.870125 0.979214
hsa_art_50.fq.bt2.bam 30 117832565 83456959 21479 0.999743 0.70845 0.854097 0.976134
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_50.fq.bwaaln.bam 0 117832565 103378754 8848421 0.921156 0.952429 0.936792 0.922939
hsa_art_50.fq.bwaaln.bam 1 117832565 99180662 595558 0.994031 0.846763 0.920397 0.983965
hsa_art_50.fq.bwaaln.bam 2 117832565 99163298 568927 0.994295 0.846389 0.920342 0.984178
hsa_art_50.fq.bwaaln.bam 3 117832565 99137347 535913 0.994623 0.845889 0.920256 0.984441
hsa_art_50.fq.bwaaln.bam 4 117832565 99101448 498199 0.994998 0.845264 0.920131 0.984737
hsa_art_50.fq.bwaaln.bam 5 117832565 99050810 454485 0.995433 0.844463 0.919948 0.985074
hsa_art_50.fq.bwaaln.bam 10 117832565 98608330 259479 0.997375 0.839053 0.918214 0.986426
hsa_art_50.fq.bwaaln.bam 15 117832565 97853929 146894 0.998501 0.831696 0.915099 0.986858
hsa_art_50.fq.bwaaln.bam 20 117832565 96766362 92964 0.99904 0.822008 0.910524 0.986542
hsa_art_50.fq.bwaaln.bam 25 117832565 94558678 63409 0.99933 0.803022 0.901176 0.985163
hsa_art_50.fq.bwaaln.bam 30 117832565 84015648 9999 0.999881 0.713094 0.856488 0.976773
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_50.fq.soap.bam 0 117832565 92399070 8076726 0.919615 0.8527 0.886157 0.915389
hsa_art_50.fq.soap.bam 1 117832565 88721795 702367 0.992146 0.758909 0.875528 0.974528
hsa_art_50.fq.soap.bam 2 117832565 88721795 702367 0.992146 0.758909 0.875528 0.974528
hsa_art_50.fq.soap.bam 3 117832565 88721795 702367 0.992146 0.758909 0.875528 0.974528
hsa_art_50.fq.soap.bam 4 117832565 88721795 702367 0.992146 0.758909 0.875528 0.974528
hsa_art_50.fq.soap.bam 5 117832565 88721795 702367 0.992146 0.758909 0.875528 0.974528
hsa_art_50.fq.soap.bam 10 117832565 88721795 702367 0.992146 0.758909 0.875528 0.974528
hsa_art_50.fq.soap.bam 15 117832565 88721795 702367 0.992146 0.758909 0.875528 0.974528
hsa_art_50.fq.soap.bam 20 117832565 88721795 702367 0.992146 0.758909 0.875528 0.974528
hsa_art_50.fq.soap.bam 25 117832565 88721795 702367 0.992146 0.758909 0.875528 0.974528
hsa_art_50.fq.soap.bam 30 117832565 88721795 702367 0.992146 0.758909 0.875528 0.974528
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_50.fq.bwamem.bam 0 117832565 104722905 10223009 0.911062 0.975502 0.943282 0.914616
hsa_art_50.fq.bwamem.bam 1 117832565 99067475 791884 0.99207 0.847468 0.919769 0.982212
hsa_art_50.fq.bwamem.bam 2 117832565 98866219 713393 0.992836 0.845094 0.918965 0.98273
hsa_art_50.fq.bwamem.bam 3 117832565 98674076 645937 0.993496 0.842891 0.918193 0.983163
hsa_art_50.fq.bwamem.bam 4 117832565 98471712 585065 0.994094 0.840657 0.917376 0.983534
hsa_art_50.fq.bwamem.bam 5 117832565 98231210 524195 0.994692 0.838099 0.916396 0.983878
hsa_art_50.fq.bwamem.bam 10 117832565 96930352 295630 0.996959 0.82512 0.91104 0.984894
hsa_art_50.fq.bwamem.bam 15 117832565 94979795 153804 0.998383 0.807363 0.902873 0.984679
hsa_art_50.fq.bwamem.bam 20 117832565 93732546 92948 0.999009 0.796261 0.897635 0.984267
hsa_art_50.fq.bwamem.bam 25 117832565 92925791 59466 0.99936 0.78913 0.894245 0.983941
hsa_art_50.fq.bwamem.bam 30 117832565 91041717 36504 0.999599 0.772946 0.886273 0.982649
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_50.fq.sr.bam 0 117832565 94564670 11202331 0.894085 0.897604 0.895844 0.894291
hsa_art_50.fq.sr.bam 1 117832565 94564670 11202331 0.894085 0.897604 0.895844 0.894291
hsa_art_50.fq.sr.bam 2 117832565 94564670 11202331 0.894085 0.897604 0.895844 0.894291
hsa_art_50.fq.sr.bam 3 117832565 94564670 11202331 0.894085 0.897604 0.895844 0.894291
hsa_art_50.fq.sr.bam 4 117832565 94564670 11202331 0.894085 0.897604 0.895844 0.894291
hsa_art_50.fq.sr.bam 5 117832565 94564670 11202331 0.894085 0.897604 0.895844 0.894291
hsa_art_50.fq.sr.bam 10 117832565 94564670 11202331 0.894085 0.897604 0.895844 0.894291
hsa_art_50.fq.sr.bam 15 117832565 94564670 11202331 0.894085 0.897604 0.895844 0.894291
hsa_art_50.fq.sr.bam 20 117832565 94564670 11202331 0.894085 0.897604 0.895844 0.894291
hsa_art_50.fq.sr.bam 25 117832565 94564670 11202331 0.894085 0.897604 0.895844 0.894291
hsa_art_50.fq.sr.bam 30 117832565 94564670 11202331 0.894085 0.897604 0.895844 0.894291
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_50.fq.star.bam 0 117832565 105538973 7357358 0.934831 0.958108 0.946469 0.936169
hsa_art_50.fq.star.bam 1 117832565 104818601 5759738 0.947913 0.938436 0.943175 0.94735
hsa_art_50.fq.star.bam 2 117832565 103619550 4110947 0.96184 0.914268 0.938054 0.958905
hsa_art_50.fq.star.bam 3 117832565 103619550 4110947 0.96184 0.914268 0.938054 0.958905
hsa_art_50.fq.star.bam 4 117832565 101429045 2357842 0.977282 0.8808 0.929041 0.971025
hsa_art_50.fq.star.bam 5 117832565 101429045 2357842 0.977282 0.8808 0.929041 0.971025
hsa_art_50.fq.star.bam 10 117832565 101429045 2357842 0.977282 0.8808 0.929041 0.971025
hsa_art_50.fq.star.bam 15 117832565 101429045 2357842 0.977282 0.8808 0.929041 0.971025
hsa_art_50.fq.star.bam 20 117832565 101429045 2357842 0.977282 0.8808 0.929041 0.971025
hsa_art_50.fq.star.bam 25 117832565 101429045 2357842 0.977282 0.8808 0.929041 0.971025
hsa_art_50.fq.star.bam 30 117832565 101429045 2357842 0.977282 0.8808 0.929041 0.971025
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_500.fq.soap.bam 0 5886912 0 0 0 0
hsa_art_500.fq.soap.bam 1 5886912 0 0 0 0
hsa_art_500.fq.soap.bam 2 5886912 0 0 0 0
hsa_art_500.fq.soap.bam 3 5886912 0 0 0 0
hsa_art_500.fq.soap.bam 4 5886912 0 0 0 0
hsa_art_500.fq.soap.bam 5 5886912 0 0 0 0
hsa_art_500.fq.soap.bam 10 5886912 0 0 0 0
hsa_art_500.fq.soap.bam 15 5886912 0 0 0 0
hsa_art_500.fq.soap.bam 20 5886912 0 0 0 0
hsa_art_500.fq.soap.bam 25 5886912 0 0 0 0
hsa_art_500.fq.soap.bam 30 5886912 0 0 0 0
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_500.fq.bwaaln.bam 0 5886912 0 0 0 0
hsa_art_500.fq.bwaaln.bam 1 5886912 0 0 0 0
hsa_art_500.fq.bwaaln.bam 2 5886912 0 0 0 0
hsa_art_500.fq.bwaaln.bam 3 5886912 0 0 0 0
hsa_art_500.fq.bwaaln.bam 4 5886912 0 0 0 0
hsa_art_500.fq.bwaaln.bam 5 5886912 0 0 0 0
hsa_art_500.fq.bwaaln.bam 10 5886912 0 0 0 0
hsa_art_500.fq.bwaaln.bam 15 5886912 0 0 0 0
hsa_art_500.fq.bwaaln.bam 20 5886912 0 0 0 0
hsa_art_500.fq.bwaaln.bam 25 5886912 0 0 0 0
hsa_art_500.fq.bwaaln.bam 30 5886912 0 0 0 0
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_500.fq.bwamem.bam 0 5886912 0 0 0 0
hsa_art_500.fq.bwamem.bam 1 5886912 0 0 0 0
hsa_art_500.fq.bwamem.bam 2 5886912 0 0 0 0
hsa_art_500.fq.bwamem.bam 3 5886912 0 0 0 0
hsa_art_500.fq.bwamem.bam 4 5886912 0 0 0 0
hsa_art_500.fq.bwamem.bam 5 5886912 0 0 0 0
hsa_art_500.fq.bwamem.bam 10 5886912 0 0 0 0
hsa_art_500.fq.bwamem.bam 15 5886912 0 0 0 0
hsa_art_500.fq.bwamem.bam 20 5886912 0 0 0 0
hsa_art_500.fq.bwamem.bam 25 5886912 0 0 0 0
hsa_art_500.fq.bwamem.bam 30 5886912 0 0 0 0
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_500.fq.star.bam 0 5886912 0 0 0 0
hsa_art_500.fq.star.bam 1 5886912 0 0 0 0
hsa_art_500.fq.star.bam 2 5886912 0 0 0 0
hsa_art_500.fq.star.bam 3 5886912 0 0 0 0
hsa_art_500.fq.star.bam 4 5886912 0 0 0 0
hsa_art_500.fq.star.bam 5 5886912 0 0 0 0
hsa_art_500.fq.star.bam 10 5886912 0 0 0 0
hsa_art_500.fq.star.bam 15 5886912 0 0 0 0
hsa_art_500.fq.star.bam 20 5886912 0 0 0 0
hsa_art_500.fq.star.bam 25 5886912 0 0 0 0
hsa_art_500.fq.star.bam 30 5886912 0 0 0 0
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_500.fq.bt2.bam 0 5886912 0 0 0 0
hsa_art_500.fq.bt2.bam 1 5886912 0 0 0 0
hsa_art_500.fq.bt2.bam 2 5886912 0 0 0 0
hsa_art_500.fq.bt2.bam 3 5886912 0 0 0 0
hsa_art_500.fq.bt2.bam 4 5886912 0 0 0 0
hsa_art_500.fq.bt2.bam 5 5886912 0 0 0 0
hsa_art_500.fq.bt2.bam 10 5886912 0 0 0 0
hsa_art_500.fq.bt2.bam 15 5886912 0 0 0 0
hsa_art_500.fq.bt2.bam 20 5886912 0 0 0 0
hsa_art_500.fq.bt2.bam 25 5886912 0 0 0 0
hsa_art_500.fq.bt2.bam 30 5886912 0 0 0 0
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_500.fq.sr.bam 0 5886912 0 0 0 0
hsa_art_500.fq.sr.bam 1 5886912 0 0 0 0
hsa_art_500.fq.sr.bam 2 5886912 0 0 0 0
hsa_art_500.fq.sr.bam 3 5886912 0 0 0 0
hsa_art_500.fq.sr.bam 4 5886912 0 0 0 0
hsa_art_500.fq.sr.bam 5 5886912 0 0 0 0
hsa_art_500.fq.sr.bam 10 5886912 0 0 0 0
hsa_art_500.fq.sr.bam 15 5886912 0 0 0 0
hsa_art_500.fq.sr.bam 20 5886912 0 0 0 0
hsa_art_500.fq.sr.bam 25 5886912 0 0 0 0
hsa_art_500.fq.sr.bam 30 5886912 0 0 0 0
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_500.fq.soap.bam 0 5886912 4694972 27821 0.994109 0.802253 0.898181 0.980318
hsa_art_500.fq.soap.bam 1 5886912 4652553 1275 0.999726 0.790538 0.895132 0.984403
hsa_art_500.fq.soap.bam 2 5886912 4652553 1275 0.999726 0.790538 0.895132 0.984403
hsa_art_500.fq.soap.bam 3 5886912 4652553 1275 0.999726 0.790538 0.895132 0.984403
hsa_art_500.fq.soap.bam 4 5886912 4652553 1275 0.999726 0.790538 0.895132 0.984403
hsa_art_500.fq.soap.bam 5 5886912 4652553 1275 0.999726 0.790538 0.895132 0.984403
hsa_art_500.fq.soap.bam 10 5886912 4652553 1275 0.999726 0.790538 0.895132 0.984403
hsa_art_500.fq.soap.bam 15 5886912 4652553 1275 0.999726 0.790538 0.895132 0.984403
hsa_art_500.fq.soap.bam 20 5886912 4652553 1275 0.999726 0.790538 0.895132 0.984403
hsa_art_500.fq.soap.bam 25 5886912 4652553 1275 0.999726 0.790538 0.895132 0.984403
hsa_art_500.fq.soap.bam 30 5886912 4652553 1275 0.999726 0.790538 0.895132 0.984403
BAM Q TOTAL CORRECT INCORRECT PRECISION RECALL F1 F25
hsa_art_500.fq.bt2.bam 0 5886912 5686878 96824 0.983259 0.982468 0.982864 0.983212
hsa_art_500.fq.bt2.bam 1 5886912 5653982 58268 0.989799 0.97033 0.980065 0.988632
hsa_art_500.fq.bt2.bam 2 5886912 5608445 29978 0.994683 0.95779 0.976236 0.992434
hsa_art_500.fq.bt2.bam 3 5886912 5598458 14064 0.997494 0.95339 0.975442 0.994787
hsa_art_500.fq.bt2.bam 4 5886912 5594596 12565 0.997759 0.952479 0.975119 0.994977
